Property,Title,Description,Alias,Clarification Title,Neo4j
P463,member of,"organization, club or musical group to which the subject belongs. Do not use for membership in ethnic or social groups, nor for holding a political position, such as a member of parliament (use P39 for that)",membership|band member of|be member of|member of musical group|in musical group,member of,member_of
P488,chairperson,"presiding member of an organization, group or body",leader|headed by|chairwoman|president|chair|chairman|dean,chairperson,chairperson
P495,country of origin,"country of origin of this item (creative work, food, phrase, product, etc.)",place of origin|comes from|CoO|originates from|origin country|country,country of origin,country_of_origin
P509,cause of death,"underlying or immediate cause of death.  Underlying cause (e.g. car accident, stomach cancer) preferred. Use 'manner of death' (P1196) for broadest category, e.g. natural causes, accident, homicide, suicide",method of murder|death cause|die from|murder method|die of|died of,cause of death,cause_of_death
P511,honorific prefix,"word or expression used before a name, in addressing or referring to a person",style prefix|pre-nominal|called|referred to as|honorific title,honorific prefix,honorific_prefix
P542,officially opened by,person that officially opened the event or place,opened by|inaugurated by,inaugurated by,officially_opened_by
P551,residence,"the place where the person is or has been, resident",lives in|hometown|home town|place of residence|resident of|resided in|resided at|lived in|resident in|has resided in|home city,place of residence,residence
P607,conflict,"battles, wars or other military engagements in which the person or item participated",war|battle|participated in conflict|participant in conflict|in conflict|in action|theater (military)|theatre (military)|military conflict|military engagement|engagement,participated in conflict,conflict
P610,highest point,"point with highest elevation in a region, or on the path of a race or route",highest peak|zenith|summit|extreme point highest|pinnacle|elevation of highest point|tallest point,highest point,highest_point
P611,religious order,order of monks or nuns to which an individual or religious house belongs,order|monastic order,religious order,religious_order
P641,sport,sport that the subject participates or participated in or is associated with,sports|sport played|play|plays,sport,sport
P674,characters,"characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)",appears in this work,characters,characters
P737,influenced by,"this person, idea, etc. is informed by that other person, idea, etc., e.g. “Heidegger was influenced by Aristotle”",informed by|has influence|favorite player|role model,influenced by,influenced_by
P740,location of formation,location where a group or organization was formed,originates from|comes from|place of foundation|founded in|formation location|source location of group/organisation|formed in|from|place of formation|place of incorporation|place of establishment|place of origin,location of formation,location_of_formation
P749,parent organization,"parent organization of an organization, opposite of subsidiaries (P355)",parent organisation|owned by (company or organisation)|holding|holding company|part of|parent unit|parent agency|superior formation|owned by (company or organization)|subsidiary of|parent company|has organizational parent,parent organization,parent_organization
P750,distributed by,distributor of a creative work; distributor for a record label; news agency; film distributor,distributor,distributed by,distributed_by
P780,symptoms and signs,possible symptoms or signs of a medical condition,symptoms|has symptom|clinical sign|clinical symptom,symptoms and signs,symptoms_and_signs
P793,significant event,significant or notable events associated with the subject,key event|key incident|significant incident|notable event|notable incident|major event|big event|main events|fate|outcome|known for|significant achievment|sign. event|important event|significant occurrence|event,significant event,significant_event
P797,authority,entity having executive power on given entity,executive authority|governing body|governing authority|has authority|has governing body|governed by|issuer|issued by,authority,authority
P800,notable work,"notable scientific, artistic or literary work, or other work of significance among subject's works",major works|famous works|significant works|notable books|famous books|representative work|literary works|bibliography|work|works|known for|famous for|significance|artwork|creator of|representative of artwork type|they wrote|they designed|they discovered|they invented|they created|author of|writer of|wrote|books by|founder of|founded|main work,notable work,notable_work
P802,student,notable student(s) of the subject individual,students|teacher of|pupil|pupils|disciple|disciples|teacher to|had student|has student,student,student
P812,academic major,major someone studied at college/university,major|academic field|academic subject|subject|field of study|studied|college major,academic major,academic_major
P822,mascot,"mascot of an organization, e.g. a sports team or university",,mascot,mascot
P840,narrative location,the narrative of the work is set in this location,setting location|narrative set in|location of narrative|set in location|takes place in|playing in|setting of work|work set in|setting|setting place|set in|place set in|place of setting,narrative location,narrative_location
P915,filming location,"actual place where this scene/film was shot. For the setting, use ""narrative location"" (P840)",location of filming|location where filmed|studio where filmed|place of filming|place where filmed|filmed at|shooting location|filming location|film location|shot in|filmed in|filmed on location in,filming location,filming_location
P921,main subject,primary topic of a work (see also P180: depicts),index term|topic of work|main topic|about|topic|subject|subject heading|mainly about|theme|main issue|main thing|keyword|is about|primary topic|primary subject|describes|artistic theme|sitter|regards|regarding|in regards to|content is about|content describes|content deals with|has a subject|/common/topic/subject|plot keyword|has topic|main theme|descriptor (wd)|primary keyword|main keyword,main subject,main_subject
P1001,applies to jurisdiction,"the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)",of jurisdiction|belongs to jurisdiction|jurisdiction|country of jurisdiction|valid in jurisdiction|applies to territorial jurisdiction|applied to jurisdiction|applies to place|applies to area|applies to geographic place|applies to geographic area|applies to region|applicable jurisdiction|applicable geographic place|applicable place|applicable territorial jurisdiction|applicable location|applicable country|applicable area|jurisdiction linked,applies to jurisdiction,applies_to_jurisdiction
P1027,conferred by,"person or organization who grants an award, certification, grant, or role",awarded by|bestowed by|given by|granted by|presented by|from|by|degree from|degree conferred by|degree awarded by|officiated by|conceded by,conferred by,conferred_by
P1040,film editor,"person who works with the raw footage, selecting shots and combining them into sequences to create a finished motion picture",editor|edited by|editing by,film editor,film_editor
P1071,location of creation,"place where the item was conceived or made; where applicable, location of final assembly",assembly location|place built|place made|location of origin|place of origin|made in|minted at|mint|manufactured in|manufacturing location|location created|creation location|place of production|production place|place of manufacture|location of creation|location of final assembly|created at|written at|place of creation|production location|location of production|creation place|composed at|photographed at|built in|built at,location of creation,location_of_creation
P1269,facet of,"topic of which this item is an aspect, item that offers a broader perspective on the same topic",aspect of|subitem of|topic of|subtopic of|main topic|subject in|section in,facet of,facet_of
P1303,instrument,musical instrument that a person plays or teaches or used in a music occupation,musical instrument|plays instrument|instrument played|plays|instrument taught|teaches instrument|player of|instruments|instrument(s),musical instrument,instrument
P1343,described by source,work where this item is described,described in source|written about in|entry|subject of|described by encyclopedia|described by reference work|described by biography|reviewed in|source of item|described by obituary|mentioned in news article|mentioned in|talked about in|subject in|discussed in|defined in|topic in|found in|described in,described by source,described_by_source
P1344,participant in,event in which a person or organization was/is a participant; inverse of P710 or P1923,attended|took part|took part in|participated in|competed in|participant of event|takes part|competes in|present at|participant of,participant in,participant_in
P1346,winner,"winner of a competition or similar event, not to be used for awards (instead use ""award received"" (P166) on awardee's item, possibly qualified with ""for work"" (P1686)) or for wars or battles",won by|victor|champion|winners|champ|top dog|leader|titleholder|prizewinner|1st place medalist|awardee|nominee|has winner,winner,winner
P1365,replaces,"person, state or item replaced. Use ""structure replaces"" (P1398) for structures. Use ""follows"" (P155) if the previous item was not replaced or predecessor and successor are identical",forefather|previous job holder|preceded by|succeeds|supersedes|continues from|continues|deprecates|replaced,preceded by,replaces
P1382,partially coincident with,"object that partially overlaps with the subject in its instances, parts, or members",partially overlaps|partial concurrency|concurrent with|concurrency|overlapping with|partially include|partially in|coincident with|part of (partially)|overlaps|overlaps with|partly similar|partly coincident with|partial overlap with|has common instances with|has common parts with|has overlap with|has common members with|intersects with|intersecting with,partially coincident with,partially_coincident_with
P1383,contains settlement,settlement which an administrative division contains,populated places within|settlement,contains settlement,contains_settlement
P1411,nominated for,"award nomination received by a person, organisation or creative work (inspired from ""award received"" (Property:P166))",nominee for|nomination received|nomination to|have nomination to|finalist for|shortlisted for|selected for|nominated for award|nominee for award|nomination to award|finalist for award|selected for award,nominated for,nominated_for
P1412,"languages spoken, written or signed","language(s) that a person or a people speaks, writes or signs, including the native language(s)","language spoken|languages of expression|languages signed|language signed|language written|language read|language used|language|speaks language|writes language|signs language|uses language|wrote language|spoke language|used language|signed language|languages spoken, written, or signed|language(s) spoken, written or signed|languages spoken|language of expression","languages spoken, written or signed",languages_spoken_written_or_signed
P1416,affiliation,organization that a person or organization is affiliated with (not necessarily member of or employed by),affiliated with|sister society|affiliated to|association|associated with,affiliation,affiliation
P1420,taxon synonym,name listed as synonym of a taxon name,taxonomic synonym|synonym of this name|this taxon has as synonym,taxon synonym,taxon_synonym
P1427,start point,"starting place of this journey, flight, voyage, trek, migration etc.",flight origin|start location|from|journey start|journey origin|launch location|launch site|launch pad|start place|starting point|starting place,start point,start_point
P1435,heritage designation,heritage designation of a cultural or natural site,designation|listing|listed status|protected status|protection|legal protection|heritage designation|heritage status,heritage designation,heritage_designation
P1454,legal form,legal form of an entity,legal structure|structured as,legal form,legal_form
P1462,standards body,organisation that published or maintains the standard governing an item,standards organisation|standards setting organization|standards setting organisation|standards developing organization|standards developing organisation|standards group|standardized by|standardised by,standards setting organization,standards_body
P1536,immediate cause of,immediate effect of this cause,immediate effect|immediate result|immediate outcome|is immediate cause of|has immediate effect|has immediate result|has immediate outcome,immediate cause of,immediate_cause_of
P1542,has effect,effect of this item,effect|has result|result|has outcome|outcome|has symptom|consequence|causes|implies|cause of|led to|caused|results in|leads to,has effect,has_effect
P1546,motto,description of the motto of the subject,tourism slogan,motto,motto
P1552,has characteristic,inherent or distinguishing quality or feature of the entity. Use a more specific property when possible,trait|inherent property|attribute|aspect|defining feature|has feature|has property|characterized by|required property|quality|defining parameter|parameter|requirement|defined by|feature|characteristic|has quality|object has characteristic,has characteristic,has_characteristic
P1672,this taxon is source of,"links a taxon to natural products it produces. Note that it does not say ""this taxon is the source of"" or ""this taxon is a source of"" as this may vary. Some products may be yielded by more than one taxon.",this taxon is the source of|this taxon is a source of|has natural product|produces natural product|produces|secretes|natural product|taxon is source of|is source of,this taxon is source of,this_taxon_is_source_of
P1995,health specialty,"main specialty that diagnoses, prevent human illness, injury and other physical and mental impairments",medical speciality|medical specialty|medical field,health specialty,health_specialty
P2175,medical condition treated,"disease that this pharmaceutical drug, procedure, or therapy is used to treat",disease treated|treats|treats medical condition|treats disease|capable of inhibiting or preventing pathological process,medical condition treated,medical_condition_treated
P2184,history of topic,"item about the historical development of a subject's topic, example: ""history of Argentina"" for ""Argentina"". To list key events of the topic, use ""significant event"" (P793)",timeline of topic|chronology of topic|history of subject|timeline of subject|chronology of subject|history of the topic|timeline of the topic|chronology of the topic|history of the subject|timeline of the subject|chronology of the subject,history of topic,history_of_topic
P2238,official symbol,official symbol of an organisation,official emblem|emblem|floral emblem|symbol|state tartan|official tartan,official symbol,official_symbol
P2283,uses,item or concept used by the subject or in the operation (see also instrument [P1303] and armament [P520]),makes use of|item used|using|instrument played|wields|used|made use of|wielded|trope used|uses trope,makes use of,uses
P2341,indigenous to,"place or ethnic group where a language, art genre, cultural tradition or expression, cooking style or food, or biological species or variety is found (or was originally found)",native to|originating from|spoken by,indigenous to,indigenous_to
P2354,has list,Wikimedia list related to this subject,accompanying list|has this list|list|list article|list for this topic|related list|topic list|topic's list,has list,has_list
P2388,office held by head of the organization,position of the head of this item,leader's office|secretary's office|minister's office|chairperson's office|chief's office|president's office|head's office|position held by head of the organisation|office held by head of the organisation|headed by|head of the organization|directed by / from|position held by head of the organization,office held by head of the organization,office_held_by_head_of_the_organization
P2408,set in period,"historical, contemporary, or future period, year, century or day the work or genre is set in or event featured in the story of the work",era|set in era|period|set during|narrative period|period covered|narrative time|takes place in time|set in time|setting|time period|features event|significant event|set in|period of setting|period set in|time period of setting|time period set in|era of setting|era set in,set in period,set_in_period
P2515,costume designer,"person who designed the costumes for a film, television programme, etc.",,costume designer,costume_designer
P2541,operating area,"geographic area or jurisdiction an organisation or industry operates in, serves, or has responsibility for",area served|area operated|area of responsibility|area of operations|region served|operating region|service area|geographic area operated|geographic region operated|operates in area|operates in geographic area|operates in geographic region|operates in jurisdiction|jurisdiction operated|serves area|serves geographic area|serves geographic region|serves jurisdiction|serves region|geographic area served|geographic region served|jurisdiction served|operates in|serves place|serves location|location served|place of activity|place of operation|operation area|areas served|service territory|service location,operating area,operating_area
P2579,studied in,subject is studied by this science or domain,"science, that studies|domain|researched by|researched in|in branch of science|studied by|is studied by|is studied in",studied in,studied_in
P2868,subject has role,"role/generic identity of the item (""subject"") in the context of a statement. For the role of the value of the statement (""object""), use P3831 (""object has role""). For acting roles, use P453 (""character role""). For persons, use P39.",subject had role|subject of qualified statement has role|subject of statement has role,subject has role,subject_has_role
P2936,language used,language widely used (spoken or written) in this place or at this event,working languages|working language|languages used|medium of instruction|used language|uses language,language used,language_used
P3033,package management system,package management system used to publish the software,software package,package management system,package_management_system
P3092,film crew member,"member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc.",,film crew member,film_crew_member
P3335,associated hazard,"hazards implicit in the subject item: that a sign warns of; that one may encounter in this place, on this thoroughfare; that are inherent properties of (or threats to) the subject; etc.",hazard on site|hazardousness,associated hazard,associated_hazard
P3342,significant person,person linked to the item in any possible way,notable person|friend|friends|person associated with the subject|associated person|key person|key people|significant people|associated people|sign. person|notable people|relevant person|relevant people|important person|important people|employee|sigper,significant person,significant_person
P3373,sibling,"the subject and the object have at least one common parent (brother, sister, etc. including half-siblings); use ""relative"" (P1038) for siblings-in-law (brother-in-law, sister-in-law, etc.) and step-siblings (step-brothers, step-sisters, etc.)",sister|has sister|bro|has brother|brother or sister|sister or brother|sis|sib|siblings|sisters|brother|brothers and sisters|sisters and brothers|has sibling|is sibling of|is the sibling of|brothers|is brother of|is the brother of|is sister of|is the sister of|half-brother|half-sister|half-sibling|sibling of|brother of|sister of|twin,sibling,sibling
P3712,has goal,desired result or outcome,objective|goal|desired result|desired outcome|aim|purpose|intention|to support|stated goal|mission|aim to|project of|objective of project or action|designed for|intended for|design goal|seeks,has goal,has_goal
P3730,next higher rank,"higher rank or level in a ranked hierarchy like sport league, military ranks. If there are several possible, list each one and qualify with ""criterion used"" (P1013), avoid using ranks and date qualifiers. For sports leagues/taxa, use specific properties instead.",next higher level|higher rank|higher level|next (higher),next higher rank,next_higher_rank
P3833,diaspora,diaspora that a cultural group belongs to,part of diaspora|diaspora of,diaspora,diaspora
P4000,has fruit type,"morphology of the fruit of this taxon, as defined in botany",fruit type|type of fruit,has fruit type,has_fruit_type
P4584,first appearance,work in which a fictional/mythical character or entity first appeared,debut|initial appearance|first episode|first film|introduced in work|appeared first in|present initially in,first appearance,first_appearance
P5642,risk factor,"factor associated with a high prevalence of a particular gene, disease or characteristic. These factors can be country of origin, country of citizenship, race, gender, occupation, anamnesis, etc.",,risk factor,risk_factor
P5869,model item,"defines which item is a best practice example of modelling a subject, which is described by the value of this property, usage instructions at Wikidata:Model items",best example|for example|specimen|sample|featured item|example item,model item,model_item
P6216,copyright status,"copyright status for intellectual creations like works of art, publications, software, etc.",copyright restriction,copyright status,copyright_status
P8193,hardiness of plant,"recommended hardiness zone for plant, ability of plant to survive adverse growing conditions",,hardiness of plant,hardiness_of_plant
P8810,parent,parent of the subject. Only use if neither father (P22) nor mother (P25) is applicable.,parents|guardian,parent,parent
P9714,taxon range,geographic area(s) where a taxon is found,range|taxon geographic range|geographic range|range of taxon|geographic range of taxon,taxon range,taxon_range
